gene_name,isoform_fdr,gene_name_lower,gene,exon_fdr,odds_ratio,log10_isoform_fdr,log10_exon_fdr,log2_odds_ratio,composite_score,min_fdr
Deaf1,6.9589617983468e-4,deaf1,DEAF1,1.8050009564768005e-8,27.792954453674547,3.157455485177048,7.741123141761484,4.796647351219589,15.69522597815812,1.8050009564768005e-8
Cbs,1.5791836585006e-4,cbs,CBS,0.02433200959936599,Inf,3.8015670837479547,1.6138220190881096,10,15.415389102836064,1.5791836585006e-4
Twnk,0.0135701695489886,twnk,TWNK,5.129109341105785e-4,Inf,1.8674147229254463,3.289957957978911,10,15.157372680904357,5.129109341105785e-4
Tpm1,4.9412994561225e-4,tpm1,TPM1,0.01507656879687049,Inf,3.30615873800112,1.8216974833138269,10,15.127856221314946,4.9412994561225e-4
Fbxo11,0.00393686264420152,fbxo11,FBXO11,0.00194411385504645,Inf,2.404849726300702,2.711278282312321,10,15.116128008613023,0.00194411385504645
Nfix,0.0112394285831061,nfix,NFIX,1.419289835308298e-7,72.10703237438814,1.9492557640410217,6.847623021088223,6.172068082778712,14.968946867907956,1.419289835308298e-7
Kcnn2,0.01410008211159,kcnn2,KCNN2,1.1249900562390742e-4,497.75945200932495,1.8507783551505919,3.948850930211692,8.959304904374797,14.75893418973708,1.1249900562390742e-4
Phf3,0.0012991717262826,phf3,PHF3,0.01960176303651057,Inf,2.8863334060698578,1.707704863030315,10,14.594038269100173,0.0012991717262826
Kif5c,0.00239864051191853,kif5c,KIF5C,0.01174859897506846,Inf,2.6200348174564314,1.930013916391402,10,14.550048733847834,0.00239864051191853
Inf2,6.2909637610892e-4,inf2,INF2,2.629382767024522e-8,13.596736000218163,3.2012827475136696,7.578497623212195,3.7651885641260248,14.54496893485189,2.629382767024522e-8
Hecw2,8.7753406506515e-4,hecw2,HECW2,4.362152203915203e-6,68.81338464867775,3.0567359661323077,5.360289229265718,6.10461732159682,14.521642516994845,4.362152203915203e-6
Nsd1,0.00123538503508938,nsd1,NSD1,2.890752630416909e-7,32.23146472474065,2.908197628664098,6.538838860699705,5.010397891281512,14.457434380645315,2.890752630416909e-7
Fgf13,0.00229051662070753,fgf13,FGF13,0.02192084894127381,Inf,2.6400665335388434,1.6591426287096072,10,14.29920916224845,0.00229051662070753
Vwf,0.00910114076297702,vwf,VWF,1.2586907645938064e-11,4.697221819995322,2.040904163784438,9.948512109197912,2.2318080316790807,14.22122430466143,1.2586907645938064e-11
Reep1,0.00407143574915241,reep1,REEP1,0.01491633637466094,Inf,2.3902524037002255,1.8263378286199028,10,14.21659023232013,0.00407143574915241
Pbx1,0.00251111825583618,pbx1,PBX1,0.0287258333888908,Inf,2.600132817324834,1.5417273612689382,10,14.141860178593772,0.00251111825583618
Rnf213,7.0922882438679e-4,rnf213,RNF213,1.6302956021178462e-5,72.40918280228341,3.149213560937137,4.787730979109354,6.178100783711721,14.115045323758213,1.6302956021178462e-5
Gabrb3,4.6637640150523e-4,gabrb3,GABRB3,2.7505404150933036e-6,37.17669055886603,3.3312633397321143,5.560566180220241,5.216326482035715,14.108156001988071,2.7505404150933036e-6
Cic,0.00145680776539417,cic,CIC,2.6213799542999105e-4,189.05099543528368,2.8365977224245142,3.581469860271288,7.56263164316469,13.980699225860493,2.6213799542999105e-4
Bptf,0.0188013726428668,bptf,BPTF,0.00835167095173564,Inf,1.7258104404763535,2.078226619613537,10,13.80403706008989,0.00835167095173564
App,0.016973294397743,app,APP,0.01028453251222278,Inf,1.7702338534204018,1.9878154403372552,10,13.758049293757658,0.01028453251222278
Kcnc2,0.0219084061958251,kcnc2,KCNC2,0.00826436265094965,Inf,1.6593892135895787,2.0827906284102427,10,13.742179841999821,0.00826436265094965
Ryr2,2.5222149989247e-4,ryr2,RYR2,9.047120726302529e-5,62.643200124212065,3.5982177238199453,4.043489134310068,5.969086032420941,13.610792890550954,9.047120726302529e-5
Auts2,0.00101681516741697,auts2,AUTS2,2.854751493026381e-5,62.07449945401193,2.992757941500897,4.544430169936317,5.955928841214254,13.493116952651468,2.854751493026381e-5
Gnao1,8.037039308598e-4,gnao1,GNAO1,3.1972710445546256e-5,53.62028001706113,3.09490385352633,4.495219187083128,5.744706875208547,13.334829915818005,3.1972710445546256e-5
Map3k7,0.0163742906058558,map3k7,MAP3K7,0.04014970443541876,Inf,1.7858375035013456,1.396317646378062,10,13.182155149879407,0.0163742906058558
Tubb4a,3.3786127955004e-4,tubb4a,TUBB4A,2.732100126461096e-6,17.607361528085182,3.4712614489676263,5.563487492898794,4.1381069136177935,13.172855855484213,2.732100126461096e-6
Nfkb1,0.0459390156667765,nfkb1,NFKB1,0.01558559807990256,Inf,1.337818313704267,1.8072765247156324,10,13.1450948384199,0.01558559807990256
Tubb3,1.8330307545181e-4,tubb3,TUBB3,2.1763189705187736e-6,13.21975249359688,3.7368300114739355,5.662257497269112,3.72462337030475,13.123710879047797,2.1763189705187736e-6
Smad3,5.2542090993696e-4,smad3,SMAD3,3.3705674222114916e-6,19.29652651227189,3.2794925651295936,5.472284096432981,4.2702693469631345,13.02204600852571,3.3705674222114916e-6
Gcnt2,0.0228277673140876,gcnt2,GCNT2,0.04350592168416756,Inf,1.6415365610088735,1.3614516252718083,10,13.002988186280682,0.0228277673140876
Gabbr2,0.00126812400081477,gabbr2,GABBR2,7.243649503221099e-5,56.981985715008896,2.8968382435664504,4.140041972403765,5.832434017951794,12.869314233922008,7.243649503221099e-5
Aff3,3.7701584857489e-4,aff3,AFF3,2.776761638602595e-4,54.36542701288865,3.423640277827187,3.5564612427383615,5.76461760132985,12.744719121895399,2.776761638602595e-4
Crebbp,3.37542928496e-4,crebbp,CREBBP,4.067897267846391e-4,57.254375765108726,3.4716708573596047,3.390629916679824,5.83931407798278,12.70161485202221,3.37542928496e-4
Smarca2,8.36647571787802e-5,smarca2,SMARCA2,3.7253300972814167e-5,17.819054854345957,4.077456925976898,4.428834073082042,4.155348992334276,12.661639991393216,3.7253300972814167e-5
Cdk13,7.2703882983096e-4,cdk13,CDK13,0.00130467653386775,98.27639913644578,3.138442333902846,2.884497115551056,6.618773107650369,12.64171255710427,7.2703882983096e-4
Kmt2d,0.00628764157196667,kmt2d,KMT2D,2.092982772374466e-6,26.373043315717688,2.201512216383698,5.679213596852575,4.720992210105285,12.601718023341558,2.092982772374466e-6
Grin2d,0.0326400663117383,grin2d,GRIN2D,1.0307853521503588e-5,64.12961615799686,1.486248966271665,4.9868275483477555,6.002918889465096,12.475995404084518,1.0307853521503588e-5
Kcnh2,0.0244077035746231,kcnh2,KCNH2,6.974141648879498e-6,50.70379825652697,1.6124730779507541,5.156503008930681,5.664021947898863,12.432998034780297,6.974141648879498e-6
Pkd1,0.00152165443187691,pkd1,PKD1,4.860142071332597e-7,9.574049434070416,2.817683936218399,6.313261686085683,3.259129405889686,12.390075028193769,4.860142071332597e-7
Kcnq4,1.7784703039936e-4,kcnq4,KCNQ4,8.195512345697944e-4,46.94701908827242,3.7499531378539523,3.0864238381616347,5.552961682152795,12.389338658168382,1.7784703039936e-4
Col11a1,1.483181848025e-4,col11a1,COL11A1,0.0023028335132095,57.818610379291734,3.828805305483267,2.6377374400103446,5.853462055133206,12.320004800626819,1.483181848025e-4
Polr2a,0.0180468343437028,polr2a,POLR2A,3.996729251187796e-5,72.13526718742666,1.7435989657361013,4.398294184355405,6.172632885542261,12.314526035633767,3.996729251187796e-5
Tgfbr2,7.4151350351518e-4,tgfbr2,TGFBR2,2.403276905226237e-5,21.633616691443308,3.1298808771677846,4.619194379874913,4.435203035688259,12.184278292730957,2.403276905226237e-5
Dnmt1,0.00306583192843747,dnmt1,DNMT1,0.00177035560788011,120.949681215866,2.513451643063204,2.75193946445805,6.918263168549392,12.183654276070644,0.00177035560788011
Calm2,0.00467780931813156,calm2,CALM2,2.334684602864546e-4,74.32014688051164,2.3299574760582593,3.6317715948127245,6.215681467252015,12.177410538122999,2.334684602864546e-4
Mef2c,2.2638620571178e-4,mef2c,MEF2C,5.067716232650985e-5,18.55708234684052,3.6451498475088724,4.295186854495072,4.213898071963345,12.15423477396729,5.067716232650985e-5
Ihh,0.035484276995469,ihh,IHH,7.315838226182073e-6,43.168184885468,1.4499640380227157,5.135729970246128,5.431896560653338,12.01759056892218,7.315838226182073e-6
Braf,0.00145781533971976,braf,BRAF,7.868900296495789e-6,16.191101989470088,2.8362974544712767,5.104080438326217,4.01712936485372,11.957507257651214,7.868900296495789e-6
Kmt2b,0.00368827592577287,kmt2b,KMT2B,0.00532399806686284,147.10494852852173,2.4331765843688937,2.273762102731827,7.2007019784485244,11.907640665549245,0.00368827592577287
Mast1,0.00117312109089147,mast1,MAST1,0.00303803016690471,78.2425288860964,2.930657120180557,2.517407903717399,6.2898811138881126,11.737946137786068,0.00117312109089147
Sos2,8.2816626156209e-4,sos2,SOS2,0.00615966320648001,74.88597598641762,3.0818824136364102,2.2104430261690378,6.226623682379941,11.51894912218539,8.2816626156209e-4
Fbn2,0.0201577744616593,fbn2,FBN2,1.0345962715137958e-4,49.71707654829599,1.6955574161223583,3.9852286712662606,5.63566958977945,11.316455677168069,1.0345962715137958e-4
Foxp1,6.0334684801431e-4,foxp1,FOXP1,0.00147636611750878,28.89150096518445,3.2194328797718446,2.8308059009712188,4.85257330126127,10.902812082004333,6.0334684801431e-4
Kcnt1,0.017550071719782,kcnt1,KCNT1,2.5127875705410067e-5,22.97146020612209,1.7557211019405392,4.59984249650017,4.521770723818162,10.877334322258871,2.5127875705410067e-5
Tnni3,0.0452604443456266,tnni3,TNNI3,1.5909797536822943e-5,25.809140540595095,1.344281185703088,4.798332617294694,4.689810250433025,10.832424053430806,1.5909797536822943e-5
Huwe1,9.1173793329869e-4,huwe1,HUWE1,8.700422303038708e-4,26.530014793663305,3.0401299281583563,3.0604596170708462,4.729553629309341,10.830143174538543,8.700422303038708e-4
Pdha1,1.4259944162931e-4,pdha1,PDHA1,4.84651310608664e-4,12.256830778867814,3.845881870474204,3.3145705188832055,3.6155142054326803,10.77596659479009,1.4259944162931e-4
